species,substance,delta
Ent. faecalis,PIP,3.2863
Ent. faecalis,PIT,28.2306
Ent. faecalis,SXT,-0.1808
Ent. faecalis,TPL,-0.1868
Ent. faecalis,VAN,0.0244
P. aeruginosa,AMK,-4.4883
P. aeruginosa,AZT,-1.7245
P. aeruginosa,CAZ,-3.2379
P. aeruginosa,CIP,0.9052
P. aeruginosa,COL,0.4906
P. aeruginosa,IMP,0.656
P. aeruginosa,LEV,0.9649
P. aeruginosa,MER,0.6294
P. aeruginosa,PIP,-89.1389
P. aeruginosa,PIT,-3.4085
P. aeruginosa,TOB,-2.2943
E. coli,AMK,0.662
E. coli,AMS,-13.608
E. coli,AZT,-0.4637
E. coli,CAZ,-0.4115
E. coli,CIP,-0.2347
E. coli,COL,-0.3125
E. coli,CTX,-0.3123
E. coli,CXM,-7.0329
