species,substance,delta
E. coli,FOS,-6.6703
E. coli,GEN,-0.3808
E. coli,IMP,-0.2706
E. coli,LEV,-0.3045
E. coli,MER,-0.0276
E. coli,MOX,-0.6001
E. coli,PIP,-9.8022
E. coli,PIT,-0.3015
E. coli,SXT,-1.9505
E. coli,TOB,-0.3843
S. aureus,AMK,-1.8831
S. aureus,AMS,-0.1688
S. aureus,CIP,0.4042
S. aureus,CLI,-0.1813
S. aureus,CTX,-0.8735
S. aureus,CXM,-2.026
S. aureus,DOX,-0.1906
S. aureus,DPT,-0.416
S. aureus,FOS,3.9741
S. aureus,GEN,-0.7835
S. aureus,IMP,-0.0385
S. aureus,LEV,-0.1623
S. aureus,LIZ,0.1096
S. aureus,MER,-0.106
S. aureus,MOX,-0.06
S. aureus,PIT,-0.5019
S. aureus,RAM,-0.0461
S. aureus,ROX,-1.135
S. aureus,SXT,-0.0515
S. aureus,TOB,28.6743
S. aureus,TPL,-0.1628
S. aureus,VAN,0.0753
S. aureus,AMK,-45.2826
S. aureus,AMS,-0.928
S. aureus,CIP,-1.1237
S. aureus,CLI,-3.2693
S. aureus,CTX,-8.4135
S. aureus,CXM,-24.1083
S. aureus,DOX,-1.3365
S. aureus,DPT,-0.4328
S. aureus,FOS,-9.0758
S. aureus,GEN,-43.7227
S. aureus,IMP,-0.6893
S. aureus,LEV,-0.904
S. aureus,LIZ,0.0544
S. aureus,MER,-1.691
S. aureus,MOX,-0.2006
S. aureus,PIT,-3.0036
S. aureus,RAM,-0.4088
S. aureus,ROX,-6.1746
S. aureus,SXT,-0.1672
S. aureus,TOB,14.8933
S. aureus,TPL,-0.1357
S. aureus,VAN,-0.0621
E. coli,AMK,0.7484
E. coli,AMS,-10.4584
E. coli,AZT,-0.4469
E. coli,CAZ,-0.3892
E. coli,CIP,-0.1014
E. coli,COL,0.2439
E. coli,CTX,-0.2784
E. coli,CXM,-8.2076
E. coli,FOS,-7.5746
E. coli,GEN,-0.2509
E. coli,IMP,0.1915
E. coli,LEV,-0.1369
E. coli,MER,-0.0252
E. coli,MOX,-0.2677
E. coli,PIP,-8.5595
E. coli,PIT,-1.26
E. coli,SXT,-0.8695
E. coli,TOB,0.1035
Ent. faecalis,AMS,-0.2012
Ent. faecalis,IMP,0.9567
Ent. faecalis,LIZ,0.0049
Ent. faecalis,PIP,33.6266
Ent. faecalis,PIT,0.0496
Ent. faecalis,SXT,-0.1905
Ent. faecalis,TPL,-0.1192
Ent. faecalis,VAN,0.8881
S. aureus,AMK,-2.0769
S. aureus,AMS,0.7278
S. aureus,CIP,7.4408
S. aureus,CLI,-0.0689
S. aureus,CTX,1.3775
S. aureus,CXM,-0.5623
S. aureus,DOX,0.0344
S. aureus,DPT,-0.263
S. aureus,FOS,4.5701
S. aureus,GEN,-0.485
S. aureus,IMP,-0.0252
S. aureus,LEV,15.7365
S. aureus,LIZ,1.1197
S. aureus,MER,0.1084
S. aureus,MOX,7.9309
S. aureus,PIT,1.3163
S. aureus,RAM,-0.036
S. aureus,ROX,-0.9594
S. aureus,SXT,-0.0463
S. aureus,TOB,28.8172
S. aureus,TPL,-0.1673
S. aureus,VAN,0.088
E. coli,AMK,0.8622
E. coli,AMS,58.5005
E. coli,AZT,-0.0161
E. coli,CAZ,0.337
E. coli,CIP,0.0078
E. coli,COL,-0.3315
E. coli,CTX,0.0731
E. coli,CXM,4.1653
E. coli,FOS,9.9033
E. coli,GEN,0.1201
E. coli,IMP,0.0377
E. coli,LEV,-0.0506
E. coli,MER,-0.0032
E. coli,MOX,-0.0786
E. coli,PIP,122.9906
E. coli,PIT,126.769
E. coli,SXT,31.6003
E. coli,TOB,0.6276
S. aureus,AMK,0.6977
S. aureus,AMS,0.0208
S. aureus,CIP,0.195
S. aureus,CLI,-0.0517
S. aureus,CTX,-0.7647
S. aureus,CXM,-0.5111
S. aureus,DOX,-0.0572
S. aureus,DPT,-0.1561
S. aureus,FOS,5.6233
S. aureus,GEN,-0.0083
S. aureus,IMP,-0.0687
S. aureus,LEV,-0.2013
S. aureus,LIZ,0.2455
S. aureus,MER,-0.1215
S. aureus,MOX,-0.0599
S. aureus,PIT,-0.1005
S. aureus,RAM,-0.012
S. aureus,ROX,-0.8746
S. aureus,SXT,-0.0722
S. aureus,TOB,6.7888
S. aureus,TPL,-0.2248
S. aureus,VAN,0.1461
Ent. faecalis,AMS,-0.8844
Ent. faecalis,IMP,-0.731
Ent. faecalis,LIZ,1.057
Ent. faecalis,PIP,21.8947
Ent. faecalis,PIT,-2.165
Ent. faecalis,SXT,-0.2486
Ent. faecalis,TPL,-0.1337
Ent. faecalis,VAN,-0.1075
P. aeruginosa,AMK,0.7334
P. aeruginosa,AZT,5.2544
P. aeruginosa,CAZ,0.1859
P. aeruginosa,CIP,0.0329
P. aeruginosa,COL,-0.1099
P. aeruginosa,IMP,31.576
P. aeruginosa,LEV,-0.0148
P. aeruginosa,MER,3.8822
P. aeruginosa,PIP,-17.1658
P. aeruginosa,PIT,-0.4284
P. aeruginosa,TOB,-0.1076
Ent. faecalis,AMS,-0.0187
Ent. faecalis,IMP,-0.1508
Ent. faecalis,LIZ,1.1338
Ent. faecalis,PIP,21.2748
Ent. faecalis,PIT,0.6295
Ent. faecalis,SXT,-0.0888
Ent. faecalis,TPL,-0.1695
Ent. faecalis,VAN,-0.4466
S. aureus,AMK,3.8385
S. aureus,AMS,0.7955
S. aureus,CIP,-0.1491
S. aureus,CLI,0.0041
S. aureus,CTX,1.1829
S. aureus,CXM,1.5953
S. aureus,DOX,0.0312
S. aureus,DPT,0.0346
S. aureus,FOS,1.3916
S. aureus,GEN,0.2378
S. aureus,IMP,0.0275
S. aureus,LEV,-0.052
S. aureus,LIZ,0.37
S. aureus,MER,0.0288
S. aureus,MOX,-0.0309
S. aureus,PIT,1.6013
S. aureus,RAM,0.0107
S. aureus,ROX,0.1415
S. aureus,SXT,-0.023
S. aureus,TOB,22.446
S. aureus,TPL,0.1291
S. aureus,VAN,0.3356
S. aureus,AMK,-65.877
S. aureus,AMS,-2.0836
S. aureus,CIP,-2.5298
S. aureus,CLI,-5.8579
S. aureus,CTX,-12.4338
S. aureus,CXM,-48.1729
S. aureus,DOX,-1.7317
S. aureus,DPT,-0.4843
S. aureus,FOS,-37.3329
S. aureus,GEN,-86.3475
S. aureus,IMP,-1.7797
S. aureus,LEV,-2.2272
S. aureus,LIZ,1.1139
S. aureus,MER,-4.3857
S. aureus,MOX,-0.6042
S. aureus,PIT,-6.6701
S. aureus,RAM,-0.5109
S. aureus,ROX,-9.8539
S. aureus,SXT,-0.2645
S. aureus,TOB,-2.3298
S. aureus,TPL,-0.1535
S. aureus,VAN,-0.0728
S. aureus,AMK,-10.5355
S. aureus,AMS,-0.5731
S. aureus,CIP,6.8524
S. aureus,CLI,-0.8466
S. aureus,CTX,-3.5686
S. aureus,CXM,-7.408
S. aureus,DOX,-0.4747
S. aureus,DPT,-0.4281
S. aureus,FOS,-9.2501
S. aureus,GEN,-5.7249
S. aureus,IMP,-0.2775
S. aureus,LEV,15.2797
S. aureus,LIZ,-0.3782
S. aureus,MER,-0.5898
S. aureus,MOX,3.8011
S. aureus,PIT,-0.9265
S. aureus,RAM,-0.1303
S. aureus,ROX,-2.9521
S. aureus,SXT,-0.1155
S. aureus,TOB,14.5711
S. aureus,TPL,-0.1629
S. aureus,VAN,-0.4774
P. aeruginosa,AMK,0.5539
P. aeruginosa,AZT,2.5206
P. aeruginosa,CAZ,0.8515
P. aeruginosa,CIP,-0.3655
P. aeruginosa,COL,0.2237
P. aeruginosa,IMP,3.5671
P. aeruginosa,LEV,-0.1305
P. aeruginosa,MER,0.1405
P. aeruginosa,PIP,-15.7174
P. aeruginosa,PIT,0.5617
P. aeruginosa,TOB,0.0215
P. aeruginosa,AMK,0.6432
P. aeruginosa,AZT,5.0285
P. aeruginosa,CAZ,6.0284
P. aeruginosa,CIP,0.3006
P. aeruginosa,COL,0.3478
P. aeruginosa,IMP,0.0366
P. aeruginosa,LEV,0.2175
P. aeruginosa,MER,0.3779
P. aeruginosa,PIP,7.7487
P. aeruginosa,PIT,-0.6087
P. aeruginosa,TOB,-0.1529
E. coli,AMK,0.7328
E. coli,AMS,-8.4656
E. coli,AZT,-0.3885
E. coli,CAZ,-0.3484
E. coli,CIP,-0.1228
E. coli,COL,-0.529
E. coli,CTX,-0.1504
E. coli,CXM,-1.6341
E. coli,FOS,-8.7046
E. coli,GEN,-0.0251
E. coli,IMP,-0.2436
E. coli,LEV,-0.1643
E. coli,MER,-0.0238
E. coli,MOX,-0.323
E. coli,PIP,-8.266
E. coli,PIT,-0.1605
E. coli,SXT,-1.0357
E. coli,TOB,0.091
E. coli,AMK,0.9228
E. coli,AMS,-3.6369
E. coli,AZT,-0.0183
E. coli,CAZ,-0.0374
E. coli,CIP,-0.0134
E. coli,COL,0.2206
E. coli,CTX,-0.0187
E. coli,CXM,-1.6885
E. coli,FOS,-6.1604
E. coli,GEN,0.186
E. coli,IMP,-0.1384
E. coli,LEV,-0.0148
E. coli,MER,-0.0023
E. coli,MOX,-0.0581
E. coli,PIP,-4.4002
E. coli,PIT,-0.2332
E. coli,SXT,-0.1485
E. coli,TOB,0.1634
P. aeruginosa,AMK,0.6272
P. aeruginosa,AZT,-2.3608
P. aeruginosa,CAZ,-0.6903
P. aeruginosa,CIP,0.292
P. aeruginosa,COL,0.375
P. aeruginosa,IMP,1.4945
P. aeruginosa,LEV,0.7041
P. aeruginosa,MER,0.1184
P. aeruginosa,PIP,-25.1222
P. aeruginosa,PIT,-1.4368
P. aeruginosa,TOB,0.1008
E. coli,AMK,-0.63
E. coli,AMS,-40.2072
E. coli,AZT,-1.4499
E. coli,CAZ,-1.1251
E. coli,CIP,-1.8974
E. coli,COL,-0.3819
E. coli,CTX,-1.3503
E. coli,CXM,-22.6626
E. coli,FOS,-5.846
E. coli,GEN,-0.9548
E. coli,IMP,-0.2478
E. coli,LEV,-2.1421
E. coli,MER,-0.0524
E. coli,MOX,-4.6441
E. coli,PIP,-20.1844
E. coli,PIT,-1.569
E. coli,SXT,-16.543
E. coli,TOB,-0.0925
E. coli,AMK,0.6755
E. coli,AMS,-14.0221
E. coli,AZT,-0.4032
E. coli,CAZ,-0.3654
E. coli,CIP,-0.2131
E. coli,COL,-0.316
E. coli,CTX,-0.2671
E. coli,CXM,-6.202
E. coli,FOS,-2.1933
E. coli,GEN,-0.1117
E. coli,IMP,0.1773
E. coli,LEV,-0.2774
E. coli,MER,-0.0255
E. coli,MOX,-0.5494
E. coli,PIP,-9.0947
E. coli,PIT,-1.1951
E. coli,SXT,-1.7642
E. coli,TOB,0.0575
E. coli,AMK,0.6539
E. coli,AMS,-17.1444
E. coli,AZT,-0.8512
E. coli,CAZ,-0.6811
E. coli,CIP,-0.1753
E. coli,COL,-0.2601
E. coli,CTX,-0.6051
E. coli,CXM,-11.3256
E. coli,FOS,1.9787
E. coli,GEN,-0.1317
E. coli,IMP,-0.3075
E. coli,LEV,-0.2926
E. coli,MER,-0.0366
E. coli,MOX,-0.505
E. coli,PIP,-12.8176
E. coli,PIT,-0.8595
E. coli,SXT,-1.9036
E. coli,TOB,0.066
P. aeruginosa,AMK,0.6468
P. aeruginosa,AZT,61.0012
P. aeruginosa,CAZ,6.0154
P. aeruginosa,CIP,7.8071
P. aeruginosa,COL,0.3507
P. aeruginosa,IMP,15.5371
P. aeruginosa,LEV,15.7258
P. aeruginosa,MER,7.8778
P. aeruginosa,PIP,103.7492
P. aeruginosa,PIT,123.3743
P. aeruginosa,TOB,15.5993
P. aeruginosa,AMK,-0.3037
P. aeruginosa,AZT,27.4358
P. aeruginosa,CAZ,5.251
P. aeruginosa,CIP,0.3864
P. aeruginosa,COL,0.4146
P. aeruginosa,IMP,1.5172
P. aeruginosa,LEV,1.829
P. aeruginosa,MER,0.3694
P. aeruginosa,PIP,-11.5156
P. aeruginosa,PIT,10.4811
P. aeruginosa,TOB,0.138
S. aureus,AMK,1.2791
S. aureus,AMS,-0.1519
S. aureus,CIP,-0.4382
S. aureus,CLI,-0.0505
S. aureus,CTX,-0.5659
S. aureus,CXM,-1.4433
S. aureus,DOX,0.0519
S. aureus,DPT,0.0024
S. aureus,FOS,-2.7
S. aureus,GEN,-0.3728
S. aureus,IMP,-0.0242
S. aureus,LEV,0.2332
S. aureus,LIZ,0.1316
S. aureus,MER,-0.0749
S. aureus,MOX,0.055
S. aureus,PIT,0.3123
S. aureus,RAM,-0.0314
S. aureus,ROX,-0.4083
S. aureus,SXT,0.141
S. aureus,TOB,27.3944
S. aureus,TPL,0.2028
S. aureus,VAN,0.0955
P. aeruginosa,AMK,-0.9782
P. aeruginosa,AZT,-10.0069
P. aeruginosa,CAZ,-6.328
P. aeruginosa,CIP,-2.1322
P. aeruginosa,COL,-0.0632
P. aeruginosa,IMP,-0.028
P. aeruginosa,LEV,-1.9273
P. aeruginosa,MER,0.2417
P. aeruginosa,PIP,-75.7167
P. aeruginosa,PIT,-5.7634
P. aeruginosa,TOB,-1.0173
S. aureus,AMK,-60.9099
S. aureus,AMS,-4.9949
S. aureus,CIP,-3.6713
S. aureus,CLI,-41.8626
S. aureus,CTX,-17.1037
S. aureus,CXM,-103.1883
S. aureus,DOX,-8.2576
S. aureus,DPT,-4.8765
S. aureus,FOS,-52.5681
S. aureus,GEN,-120.7545
S. aureus,IMP,-1.6457
S. aureus,LEV,-4.4065
S. aureus,LIZ,-4.1372
S. aureus,MER,-2.6586
S. aureus,MOX,-2.2962
S. aureus,PIT,-6.8214
S. aureus,RAM,-4.1831
S. aureus,ROX,-42.5749
S. aureus,SXT,-1.7034
S. aureus,TOB,391.682
S. aureus,TPL,-0.9323
S. aureus,VAN,-3.5738
P. aeruginosa,AMK,-0.4864
P. aeruginosa,AZT,0.6343
P. aeruginosa,CAZ,-0.2369
P. aeruginosa,CIP,-0.5365
P. aeruginosa,COL,0.2893
P. aeruginosa,IMP,0.4769
P. aeruginosa,LEV,-0.5893
P. aeruginosa,MER,-0.0661
P. aeruginosa,PIP,2.7088
P. aeruginosa,PIT,-0.9003
P. aeruginosa,TOB,-0.2212
Ent. faecalis,AMS,0.1316
Ent. faecalis,IMP,0.6098
Ent. faecalis,LIZ,1.178
Ent. faecalis,PIP,8.8438
Ent. faecalis,PIT,-0.3006
Ent. faecalis,SXT,-0.1301
Ent. faecalis,TPL,-0.1861
Ent. faecalis,VAN,0.0515
S. aureus,AMK,-1.2954
S. aureus,AMS,1.3542
S. aureus,CIP,-0.5321
S. aureus,CLI,-0.1594
S. aureus,CTX,-3.4695
S. aureus,CXM,-2.854
S. aureus,DOX,-0.1645
S. aureus,DPT,-0.252
S. aureus,FOS,59.5039
S. aureus,GEN,-0.5047
S. aureus,IMP,-0.1663
S. aureus,LEV,-0.5083
S. aureus,LIZ,0.2097
S. aureus,MER,-0.3029
S. aureus,MOX,-0.1589
S. aureus,PIT,2.4015
S. aureus,RAM,-0.0407
S. aureus,ROX,-1.1572
S. aureus,SXT,0.0885
S. aureus,TOB,6.3632
S. aureus,TPL,0.1715
S. aureus,VAN,0.0978
E. coli,AMK,-1.1222
E. coli,AMS,15.5839
E. coli,AZT,-0.4159
E. coli,CAZ,-0.38
E. coli,CIP,-0.326
E. coli,COL,-0.5966
E. coli,CTX,-0.2872
E. coli,CXM,-6.6897
E. coli,FOS,-7.8101
E. coli,GEN,-0.441
E. coli,IMP,-0.2741
E. coli,LEV,-0.4132
E. coli,MER,-0.0269
E. coli,MOX,-0.8348
E. coli,PIP,20.1877
E. coli,PIT,-1.2246
E. coli,SXT,29.2571
E. coli,TOB,-0.2211
P. aeruginosa,AMK,0.5862
P. aeruginosa,AZT,3.6033
P. aeruginosa,CAZ,-0.7313
P. aeruginosa,CIP,-0.0414
P. aeruginosa,COL,0.3544
P. aeruginosa,IMP,0.4775
P. aeruginosa,LEV,0.0981
P. aeruginosa,MER,-0.0705
P. aeruginosa,PIP,-22.5288
P. aeruginosa,PIT,2.5298
P. aeruginosa,TOB,0.079
S. aureus,AMK,-149.2246
S. aureus,AMS,-2.2957
S. aureus,CIP,-3.146
S. aureus,CLI,-13.2722
S. aureus,CTX,-17.6483
S. aureus,CXM,-84.6168
S. aureus,DOX,-3.1095
S. aureus,DPT,-0.9407
S. aureus,FOS,-65.7343
S. aureus,GEN,-287.3737
S. aureus,IMP,-2.863
S. aureus,LEV,-3.1249
S. aureus,LIZ,0.0729
S. aureus,MER,-7.8753
S. aureus,MOX,-0.9059
S. aureus,PIT,-7.3711
S. aureus,RAM,-1.0668
S. aureus,ROX,-14.7729
S. aureus,SXT,-0.3166
S. aureus,TOB,-1.8819
S. aureus,TPL,0.2378
S. aureus,VAN,-0.1274
P. aeruginosa,AMK,0.4897
P. aeruginosa,AZT,-0.7373
P. aeruginosa,CAZ,-1.9555
P. aeruginosa,CIP,-0.5485
P. aeruginosa,COL,0.3114
P. aeruginosa,IMP,0.4313
P. aeruginosa,LEV,-0.2888
P. aeruginosa,MER,0.8624
P. aeruginosa,PIP,-30.7633
P. aeruginosa,PIT,-1.6806
P. aeruginosa,TOB,-0.2221
P. aeruginosa,AMK,0.5941
P. aeruginosa,AZT,1.5615
P. aeruginosa,CAZ,12.2981
P. aeruginosa,CIP,-0.1242
P. aeruginosa,COL,1.3932
P. aeruginosa,IMP,0.4406
P. aeruginosa,LEV,0.1485
P. aeruginosa,MER,0.3575
P. aeruginosa,PIP,28.3008
P. aeruginosa,PIT,25.5626
P. aeruginosa,TOB,-0.1542
S. aureus,AMK,-1.7512
S. aureus,AMS,-0.3312
S. aureus,CIP,-0.5412
S. aureus,CLI,-0.0999
S. aureus,CTX,-0.9981
S. aureus,CXM,-1.9872
S. aureus,DOX,-0.0983
S. aureus,DPT,-0.2017
S. aureus,FOS,-1.0372
S. aureus,GEN,-0.3994
S. aureus,IMP,-0.0759
S. aureus,LEV,-0.3117
S. aureus,LIZ,-0.2902
S. aureus,MER,-0.1445
S. aureus,MOX,-0.0555
S. aureus,PIT,-0.8394
S. aureus,RAM,-0.0225
S. aureus,ROX,-1.3138
S. aureus,SXT,-0.0721
S. aureus,TOB,11.6687
S. aureus,TPL,-0.2057
S. aureus,VAN,-0.3788
P. aeruginosa,AMK,0.7495
P. aeruginosa,AZT,1.5005
P. aeruginosa,CAZ,-1.1764
P. aeruginosa,CIP,0.0436
P. aeruginosa,COL,1.3906
P. aeruginosa,IMP,0.0892
P. aeruginosa,LEV,0.3753
P. aeruginosa,MER,-0.0528
P. aeruginosa,PIP,-15.945
P. aeruginosa,PIT,-0.2491
P. aeruginosa,TOB,-0.2895
S. aureus,AMK,-4.0127
S. aureus,AMS,-0.6622
S. aureus,CIP,-0.9575
S. aureus,CLI,-0.3147
S. aureus,CTX,-2.8124
S. aureus,CXM,-5.8341
S. aureus,DOX,-0.2406
S. aureus,DPT,-0.5353
S. aureus,FOS,-5.5984
S. aureus,GEN,-1.6355
S. aureus,IMP,-0.0651
S. aureus,LEV,-0.6619
S. aureus,LIZ,-0.3003
S. aureus,MER,-0.4704
S. aureus,MOX,-0.1567
S. aureus,PIT,-1.7626
S. aureus,RAM,-0.0624
S. aureus,ROX,-2.6538
S. aureus,SXT,-0.1178
S. aureus,TOB,4.4445
S. aureus,TPL,-0.1972
S. aureus,VAN,-0.8614
E. coli,AMK,-0.283
E. coli,AMS,-11.6868
E. coli,AZT,-0.4698
E. coli,CAZ,-0.4095
E. coli,CIP,-0.1385
E. coli,COL,-0.5233
E. coli,CTX,-0.3018
E. coli,CXM,-8.6996
E. coli,FOS,-10.9106
E. coli,GEN,-0.4826
E. coli,IMP,-0.0692
E. coli,LEV,-0.1849
E. coli,MER,-0.0266
E. coli,MOX,-0.359
E. coli,PIP,-9.141
E. coli,PIT,1.6967
E. coli,SXT,-1.1711
E. coli,TOB,0.0865
P. aeruginosa,AMK,0.655
P. aeruginosa,AZT,-2.1883
P. aeruginosa,CAZ,-2.5404
P. aeruginosa,CIP,-0.1356
P. aeruginosa,COL,0.4197
P. aeruginosa,IMP,1.4705
P. aeruginosa,LEV,0.2769
P. aeruginosa,MER,0.3605
P. aeruginosa,PIP,-24.866
P. aeruginosa,PIT,1.6955
P. aeruginosa,TOB,0.126
E. coli,AMK,2.6442
E. coli,AMS,-13.9418
E. coli,AZT,-0.4301
E. coli,CAZ,-0.3888
E. coli,CIP,7.7044
E. coli,COL,-0.3319
E. coli,CTX,-0.2933
E. coli,CXM,-8.7525
E. coli,FOS,-8.1295
E. coli,GEN,0.338
E. coli,IMP,-0.2715
E. coli,LEV,7.6101
E. coli,MER,-0.027
E. coli,MOX,7.2677
E. coli,PIP,-9.7342
E. coli,PIT,-1.247
E. coli,SXT,-2.3106
E. coli,TOB,0.0401
P. aeruginosa,AMK,14.6515
P. aeruginosa,AZT,11.6103
P. aeruginosa,CAZ,5.3093
P. aeruginosa,CIP,0.0808
P. aeruginosa,COL,3.3882
P. aeruginosa,IMP,-0.2467
P. aeruginosa,LEV,0.7547
P. aeruginosa,MER,0.119
P. aeruginosa,PIP,-12.4438
P. aeruginosa,PIT,10.5563
P. aeruginosa,TOB,1.6138
P. aeruginosa,AMK,0.4728
P. aeruginosa,AZT,-2.2187
P. aeruginosa,CAZ,-1.4903
P. aeruginosa,CIP,-0.4526
P. aeruginosa,COL,0.3765
P. aeruginosa,IMP,0.3316
P. aeruginosa,LEV,-0.2617
P. aeruginosa,MER,0.0907
P. aeruginosa,PIP,-41.2649
P. aeruginosa,PIT,0.0975
P. aeruginosa,TOB,-0.2032
S. aureus,AMK,-134.5158
S. aureus,AMS,-3.134
S. aureus,CIP,-3.4243
S. aureus,CLI,-24.668
S. aureus,CTX,-18.0758
S. aureus,CXM,-88.6335
S. aureus,DOX,-5.8556
S. aureus,DPT,-2.3316
S. aureus,FOS,-63.0062
S. aureus,GEN,-299.5451
S. aureus,IMP,-2.1043
S. aureus,LEV,-3.4767
S. aureus,LIZ,-1.1626
S. aureus,MER,-4.9147
S. aureus,MOX,-1.2657
S. aureus,PIT,-6.7832
S. aureus,RAM,-2.1848
S. aureus,ROX,-25.0233
S. aureus,SXT,0.306
S. aureus,TOB,148.6013
S. aureus,TPL,-0.0476
S. aureus,VAN,-1.1609
P. aeruginosa,AMK,6.6013
P. aeruginosa,AZT,5.6104
P. aeruginosa,CAZ,2.3297
P. aeruginosa,CIP,-0.0479
P. aeruginosa,COL,0.3031
P. aeruginosa,IMP,1.5413
P. aeruginosa,LEV,0.5951
P. aeruginosa,MER,0.3816
P. aeruginosa,PIP,-15.0872
P. aeruginosa,PIT,-0.2094
P. aeruginosa,TOB,0.5666
E. coli,AMK,0.6876
E. coli,AMS,-15.1615
E. coli,AZT,-1.0994
E. coli,CAZ,-0.8345
E. coli,CIP,-0.1525
E. coli,COL,-0.4644
E. coli,CTX,-0.6895
E. coli,CXM,-9.3177
E. coli,FOS,-14.5105
E. coli,GEN,0.4267
E. coli,IMP,-0.1263
E. coli,LEV,-0.2063
E. coli,MER,-0.04
E. coli,MOX,-0.3304
E. coli,PIP,-11.7382
E. coli,PIT,0.8563
E. coli,SXT,-1.3404
E. coli,TOB,0.0931
P. aeruginosa,AMK,-0.3274
P. aeruginosa,AZT,29.4561
P. aeruginosa,CAZ,30.2702
P. aeruginosa,CIP,-0.0359
P. aeruginosa,COL,0.3494
P. aeruginosa,IMP,1.5608
P. aeruginosa,LEV,0.0183
P. aeruginosa,MER,-0.0553
P. aeruginosa,PIP,42.0463
P. aeruginosa,PIT,123.6962
P. aeruginosa,TOB,-0.1419
S. aureus,AMK,-1.927
S. aureus,AMS,0.6608
S. aureus,CIP,7.3403
S. aureus,CLI,-0.1348
S. aureus,CTX,-1.0782
S. aureus,CXM,-1.3645
S. aureus,DOX,-0.1927
S. aureus,DPT,-0.039
S. aureus,FOS,-3.7107
S. aureus,GEN,-0.8383
S. aureus,IMP,-0.0559
S. aureus,LEV,15.6676
S. aureus,LIZ,0.1255
S. aureus,MER,-0.1347
S. aureus,MOX,3.9118
S. aureus,PIT,1.1342
S. aureus,RAM,-0.0002
S. aureus,ROX,-1.2446
S. aureus,SXT,-0.0592
S. aureus,TOB,25.0124
S. aureus,TPL,-0.1684
S. aureus,VAN,-0.423
E. coli,AMK,-0.1902
E. coli,AMS,-7.1322
E. coli,AZT,-0.2557
E. coli,CAZ,-0.2408
E. coli,CIP,3.9277
E. coli,COL,-0.5075
E. coli,CTX,-0.1487
E. coli,CXM,-5.5255
E. coli,FOS,6.0719
E. coli,GEN,-0.1773
E. coli,IMP,0.2298
E. coli,LEV,3.8923
E. coli,MER,-0.0176
E. coli,MOX,7.8227
E. coli,PIP,-4.221
E. coli,PIT,-0.8902
E. coli,SXT,-0.4978
E. coli,TOB,0.1264
P. aeruginosa,AMK,3.0054
P. aeruginosa,AZT,31.7728
P. aeruginosa,CAZ,63.7704
P. aeruginosa,CIP,1.9896
P. aeruginosa,COL,1.3346
P. aeruginosa,IMP,15.7982
P. aeruginosa,LEV,1.9817
P. aeruginosa,MER,7.9312
P. aeruginosa,PIP,26.9574
P. aeruginosa,PIT,6.5084
P. aeruginosa,TOB,31.7196
P. aeruginosa,AMK,-0.434
P. aeruginosa,AZT,5.1997
P. aeruginosa,CAZ,0.0896
P. aeruginosa,CIP,-0.257
P. aeruginosa,COL,1.2993
P. aeruginosa,IMP,3.5142
P. aeruginosa,LEV,-0.2593
P. aeruginosa,MER,0.8771
P. aeruginosa,PIP,-17.6545
P. aeruginosa,PIT,-0.515
P. aeruginosa,TOB,-0.1979
Ent. faecalis,AMS,0.89
Ent. faecalis,IMP,0.2695
Ent. faecalis,LIZ,0.0906
Ent. faecalis,PIP,21.4407
Ent. faecalis,PIT,0.678
Ent. faecalis,SXT,-0.1688
Ent. faecalis,TPL,-0.1483
Ent. faecalis,VAN,-0.0374
P. aeruginosa,AMK,0.7288
P. aeruginosa,AZT,14.3311
P. aeruginosa,CAZ,0.7814
P. aeruginosa,CIP,0.3918
P. aeruginosa,COL,1.3415
P. aeruginosa,IMP,3.6136
P. aeruginosa,LEV,1.8398
P. aeruginosa,MER,0.8925
P. aeruginosa,PIP,-1.1619
P. aeruginosa,PIT,4.4205
P. aeruginosa,TOB,0.1255
Ent. faecalis,AMS,-0.0546
Ent. faecalis,IMP,0.2568
Ent. faecalis,LIZ,-0.3774
Ent. faecalis,PIP,22.5302
Ent. faecalis,PIT,0.5065
Ent. faecalis,SXT,-0.0952
Ent. faecalis,TPL,-0.1645
Ent. faecalis,VAN,-0.46
Ent. faecalis,AMS,3.3393
Ent. faecalis,IMP,3.683
Ent. faecalis,LIZ,0.1188
Ent. faecalis,PIP,21.5833
Ent. faecalis,PIT,14.1808
Ent. faecalis,SXT,0.8267
Ent. faecalis,TPL,-0.162
Ent. faecalis,VAN,0.0242
S. aureus,AMK,1.0789
S. aureus,AMS,-0.299
S. aureus,CIP,-0.263
S. aureus,CLI,-0.0939
S. aureus,CTX,-2.1762
S. aureus,CXM,-2.4088
S. aureus,DOX,0.2915
S. aureus,DPT,0.0033
S. aureus,FOS,124.2605
S. aureus,GEN,-0.2649
S. aureus,IMP,-0.0779
S. aureus,LEV,-0.1617
S. aureus,LIZ,3.1738
S. aureus,MER,-0.16
S. aureus,MOX,-0.0482
S. aureus,PIT,-0.0488
S. aureus,RAM,-0.0349
S. aureus,ROX,-0.7299
S. aureus,SXT,7.8673
S. aureus,TOB,16.719
S. aureus,TPL,0.1866
S. aureus,VAN,0.0981
Ent. faecalis,AMS,-0.9728
Ent. faecalis,IMP,-0.8612
Ent. faecalis,LIZ,0.0139
Ent. faecalis,PIP,115.1713
Ent. faecalis,PIT,-2.6426
Ent. faecalis,SXT,-0.2253
Ent. faecalis,TPL,-0.1062
Ent. faecalis,VAN,-0.1418
